U+0391	Α	gA	GREEK CAPITAL LETTER ALPHA
U+0392	Β	gB	GREEK CAPITAL LETTER BETA
U+0393	Γ	gG	GREEK CAPITAL LETTER GAMMA
U+0394	Δ	gD	GREEK CAPITAL LETTER DELTA
U+0395	Ε	gE	GREEK CAPITAL LETTER EPSILON
U+0396	Ζ	gZ	GREEK CAPITAL LETTER ZETA
U+0397	Η	gH	GREEK CAPITAL LETTER ETA
U+0398	Θ	GT	GREEK CAPITAL LETTER THETA
U+0399	Ι	gI	GREEK CAPITAL LETTER IOTA
U+039A	Κ	gK	GREEK CAPITAL LETTER KAPPA
U+039B	Λ	gL	GREEK CAPITAL LETTER LAMDA
U+039C	Μ	gM	GREEK CAPITAL LETTER MU
U+039D	Ν	gN	GREEK CAPITAL LETTER NU
U+039E	Ξ	GX	GREEK CAPITAL LETTER XI
U+039F	Ο	gO	GREEK CAPITAL LETTER OMICRON
U+03A0	Π	gP	GREEK CAPITAL LETTER PI
U+03A1	Ρ	gR	GREEK CAPITAL LETTER RHO
U+03A3	Σ	gS	GREEK CAPITAL LETTER SIGMA
U+03A4	Τ	gT	GREEK CAPITAL LETTER TAU
U+03A5	Υ	gY	GREEK CAPITAL LETTER UPSILON
U+03A6	Φ	gF	GREEK CAPITAL LETTER PHI
U+03A7	Χ	gX	GREEK CAPITAL LETTER CHI
U+03A8	Ψ	GP	GREEK CAPITAL LETTER PSI
U+03A9	Ω	GO	GREEK CAPITAL LETTER OMEGA
U+03B1	α	ga	GREEK SMALL LETTER ALPHA
U+03B2	β	gb	GREEK SMALL LETTER BETA
U+03B3	γ	gg	GREEK SMALL LETTER GAMMA
U+03B4	δ	gd	GREEK SMALL LETTER DELTA
U+03B5	ε	ge	GREEK SMALL LETTER EPSILON
U+03B6	ζ	gz	GREEK SMALL LETTER ZETA
U+03B7	η	gh	GREEK SMALL LETTER ETA
U+03B8	θ	Gt	GREEK SMALL LETTER THETA
U+03B9	ι	gi	GREEK SMALL LETTER IOTA
U+03BA	κ	gk	GREEK SMALL LETTER KAPPA
U+03BB	λ	gl	GREEK SMALL LETTER LAMDA
U+03BC	μ	gm	GREEK SMALL LETTER MU
U+03BD	ν	gn	GREEK SMALL LETTER NU
U+03BE	ξ	Gx	GREEK SMALL LETTER XI
U+03BF	ο	go	GREEK SMALL LETTER OMICRON
U+03C0	π	gp	GREEK SMALL LETTER PI
U+03C1	ρ	gr	GREEK SMALL LETTER RHO
U+03C3	σ	gs	GREEK SMALL LETTER SIGMA
U+03C4	τ	gt	GREEK SMALL LETTER TAU
U+03C5	υ	gy	GREEK SMALL LETTER UPSILON
U+03C6	φ	gf	GREEK SMALL LETTER PHI
U+03C7	χ	gx	GREEK SMALL LETTER CHI
U+03C8	ψ	Gp	GREEK SMALL LETTER PSI
U+03C9	ω	Go	GREEK SMALL LETTER OMEGA
U+03C2	ς	Gs	GREEK SMALL LETTER FINAL SIGMA
U+0398	Θ	gU	GREEK CAPITAL LETTER THETA
U+039E	Ξ	gJ	GREEK CAPITAL LETTER XI
U+03A8	Ψ	gC	GREEK CAPITAL LETTER PSI
U+03A9	Ω	gV	GREEK CAPITAL LETTER OMEGA
U+03B8	θ	gu	GREEK SMALL LETTER THETA
U+03BE	ξ	gj	GREEK SMALL LETTER XI
U+03C8	ψ	gc	GREEK SMALL LETTER PSI
U+03C9	ω	gv	GREEK SMALL LETTER OMEGA
U+03C2	ς	gw	GREEK SMALL LETTER FINAL SIGMA
U+03D0	ϐ	g$b	GREEK BETA SYMBOL
U+03D1	ϑ	g$u	GREEK THETA SYMBOL
U+03D5	ϕ	g$f	GREEK PHI SYMBOL
U+03D6	ϖ	g$p	GREEK PI SYMBOL
U+03F0	ϰ	g$k	GREEK KAPPA SYMBOL
U+03F1	ϱ	g$r	GREEK RHO SYMBOL
U+03F5	ϵ	g$e	GREEK LUNATE EPSILON SYMBOL
U+0410	А	cA	CYRILLIC CAPITAL LETTER A
U+0430	а	ca	CYRILLIC SMALL LETTER A
U+0411	Б	cB	CYRILLIC CAPITAL LETTER BE
U+0431	б	cb	CYRILLIC SMALL LETTER BE
U+0412	В	cV	CYRILLIC CAPITAL LETTER VE
U+0432	в	cv	CYRILLIC SMALL LETTER VE
U+0413	Г	cG	CYRILLIC CAPITAL LETTER GE
U+0433	г	cg	CYRILLIC SMALL LETTER GE
U+0490	Ґ	cH	CYRILLIC CAPITAL LETTER GHE WITH UPTURN
U+0491	ґ	ch	CYRILLIC SMALL LETTER GHE WITH UPTURN
U+0403	Ѓ	CGj	CYRILLIC CAPITAL LETTER GJE
U+0453	ѓ	Cgj	CYRILLIC SMALL LETTER GJE
U+0414	Д	cD	CYRILLIC CAPITAL LETTER DE
U+0434	д	cd	CYRILLIC SMALL LETTER DE
